x,y
0.2247,0.651
0.2247,0.6537
0.2289,0.6537
0.2289,0.6565
0.2376,0.6565
0.2376,0.6593
0.2405,0.6593
0.2405,0.6648
0.2515,0.6648
0.2515,0.6676
0.2528,0.6676
0.2528,0.6704
0.2551,0.6704
0.2551,0.6731
0.2593,0.6731
0.2593,0.6759
0.2706,0.6759
0.2706,0.6787
0.2739,0.6787
0.2739,0.6814
0.2781,0.6814
0.2781,0.6842
0.2907,0.6842
0.2907,0.687
0.293,0.687
0.293,0.6898
0.2988,0.6898
0.2988,0.6953
0.3001,0.6953
0.3001,0.6981
0.3004,0.6981
0.3004,0.7008
0.3007,0.7008
0.3007,0.7036
0.3017,0.7036
0.3017,0.7064
0.3027,0.7064
0.3027,0.7091
0.303,0.7091
0.303,0.7147
0.3043,0.7147
0.3043,0.7175
0.3079,0.7175
0.3079,0.723
0.3095,0.723
0.3095,0.7258
0.3137,0.7258
0.3137,0.7341
0.3147,0.7341
0.3147,0.7368
0.316,0.7368
0.316,0.7424
0.3169,0.7424
0.3169,0.7535
0.3189,0.7535
0.3189,0.7562
0.3221,0.7562
0.3221,0.759
0.3241,0.759
0.3241,0.7618
0.3247,0.7618
0.3247,0.7645
0.3263,0.7645
0.3263,0.7701
0.3279,0.7701
0.3279,0.7729
0.3283,0.7729
0.3283,0.7756
0.3289,0.7756
0.3289,0.7812
0.3299,0.7812
0.3299,0.7839
0.3315,0.7839
0.3315,0.7867
0.3318,0.7867
0.3318,0.7895
0.3383,0.7895
0.3383,0.7922
0.3402,0.7922
0.3402,0.795
0.3406,0.795
0.3406,0.8006
0.3435,0.8006
0.3435,0.8033
0.3441,0.8033
0.3441,0.8061
0.3461,0.8061
0.3461,0.8116
0.347,0.8116
0.347,0.8144
0.3509,0.8144
0.3509,0.8172
0.3522,0.8172
0.3522,0.8255
0.3551,0.8255
0.3551,0.8283
0.3561,0.8283
0.3561,0.831
0.3577,0.831
0.3577,0.8338
0.359,0.8338
0.359,0.8366
0.3593,0.8366
0.3593,0.8393
0.3619,0.8393
0.3619,0.8421
0.3658,0.8421
0.3658,0.8449
0.3661,0.8449
0.3661,0.8476
0.3846,0.8476
0.3846,0.8504
0.3904,0.8504
0.3904,0.8532
0.3924,0.8532
0.3924,0.856
0.3953,0.856
0.3953,0.8587
0.3979,0.8587
0.3979,0.8615
0.3982,0.8615
0.3982,0.8643
0.4053,0.8643
0.4053,0.867
0.4153,0.867
0.4153,0.8698
0.4231,0.8698
0.4231,0.8726
0.4264,0.8726
0.4264,0.8753
0.4649,0.8753
0.4649,0.8781
0.4655,0.8781
0.4655,0.8809
0.4769,0.8809
0.4769,0.8864
0.4794,0.8864
0.4794,0.8892
0.4811,0.8892
0.4811,0.892
0.484,0.892
0.484,0.8947
0.4846,0.8947
0.4846,0.8975
0.4866,0.8975
0.4866,0.9003
0.4872,0.9003
0.4872,0.903
0.4875,0.903
0.4875,0.9058
0.4885,0.9058
0.4885,0.9114
0.4898,0.9114
0.4898,0.9141
0.4904,0.9141
0.4904,0.9169
0.4911,0.9169
0.4911,0.9197
0.4917,0.9197
0.4917,0.9224
0.4937,0.9224
0.4937,0.928
0.4943,0.928
0.4943,0.9307
0.496,0.9307
0.496,0.9335
0.4972,0.9335
0.4972,0.9363
0.4976,0.9363
0.4976,0.9391
0.4982,0.9391
0.4982,0.9446
0.4992,0.9446
0.4992,0.9474
0.5024,0.9474
0.5024,0.9529
0.5028,0.9529
0.5028,0.9557
0.5057,0.9557
0.5057,0.9584
0.5063,0.9584
0.5063,0.964
0.5112,0.964
0.5112,0.9695
0.5115,0.9695
0.5115,0.9723
0.5131,0.9723
0.5131,0.9806
0.5173,0.9806
0.5173,0.9834
0.518,0.9834
0.518,0.9861
0.5183,0.9861
0.5183,0.9917
0.5196,0.9917
0.5196,0.9945
